company,prefer,location,url,tool
웨이커,"• 금융 도메인 경험이 있으신 분
• 주식 투자에 대한 관심과 경험이 있으신 분
• 자연어 처리를 비롯한 AI 기술에 관심이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/183274,"Confluence
Git
GitLab
JIRA
Python
SQL
NLP
AWS"
타이드풀(TIDEPOOL),"• R&D, 납품 용역 과제 수행 및 관리 경험
• AI 관련 석사학위 이상의 연구 경력 또는 그에 준하는 연구 실적",대전.한국,https://www.wanted.co.kr/wd/183049,"Git
Django
Pytorch
HTML
JavaScript
Python
AWS
Docker
PostgreSQL
Kubernetes"
엠에스홀딩스,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 경영정보학 전공자 또는 관련 실무 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182955,"Git
React
HTML
JavaScript"
엠에스인포테크,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 경영정보학 전공자 또는 관련 실무 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182913,
엠에스투데이,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 경영정보학 전공자 또는 관련 실무 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182617,
엠에스투데이,"• AI 또는 디지털을 활용한 검색, 기사 발굴, 작성 경험자
• 데이터사이언스, 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자
• 웹 스크레이핑, 크롤링 등 관련 실무(운영) 경험자",서울.한국,https://www.wanted.co.kr/wd/182615,
코인원(coinone),"• 가상자산 산업에 관심과 이해가 있는 분
• 데이터 적재 및 활용을 위한 프로세스 개선 및 프로젝트 수행 경험이 있는 분
• 대내외 다양한 조직과 유연하게 소통하고 적극적으로 협업하실 수 있는 분
• 금융 회사에서 데이터 조회와 보고서 작성 및 검증 업무 경험이 있는 분
• BigQuery, Mysql, dbt, Jupyter Notebook 사용 경험이 있는 분

---------------------------------------------------------------------------------------",서울.한국,https://www.wanted.co.kr/wd/182506,"MySQL
Python"
카테노이드,"• Spark, Kafka, Airflow 등 빅데이터 솔루션 경험 우대
• AI 관련 경험 우대",서울.한국,https://www.wanted.co.kr/wd/182362,
디토닉,"- 컴퓨터 공학 관련 학과 전공
- Full stack 개발자 
- Spring Security 구성 가능
- MSA 설계, 개발, 구축, 운영 가능 
- DB Schema 설계, SQL 및 Index Tuning 능숙 
- 오픈소스 프로젝트 개발 경험
- 솔루션 개발 및 론칭 경험
- AWS,Azure,N Cloud 등 클라우드 및 컨테이너 환경 개발/운영 능숙
- 새로운 분야에 대한 도전에 적극적인 분",경기.한국,https://www.wanted.co.kr/wd/182130,"Linux
컴파일러
알고리즘 개발
네트워크 개발"
올릿,"• D2C 커머스에서 Data 수집 및 분석 경험이 있으신 분
• 주요 지표 개선을 위한 가설을 세우고, 테스트하여 직접 개선해 본 경험이 있으신 분
• Funnel, Cohort, LTV 등 Data 분석 방법론에 높은 이해도와 관심을 보유하신 분",서울.한국,https://www.wanted.co.kr/wd/182124,"HTML
CSS 자바 스크립트"
헥토,"• Java 언어 개발 능력과 Linux/shell을 자유롭게 다루시는 분
• 대용량/분산 처리 환경(Hadoop, Kafka, Spark, Elasticsearch 등) 운영 및 개발 경험
• 다양한 문제에 대한 알고리즘 개발과 창의적 사고를 가지고 있는 분
• 컴퓨터 과학 (Computer Science), 컴퓨터 공학 (Computer Engineering) 및 관련 분야 전공",서울.한국,https://www.wanted.co.kr/wd/181917,"JavaScript
Python"
카카오헬스케어,"• 의료시스템(EMR, HIS 등) 관련 DB를 운영한 경험이 있으신 분
• CDM, HL7 FHIR와 같은 의료 IT 데이터 표준에 대한 지식을 보유하신 분
• 하둡 에코시스템(Hadoop-Ecosystem)과 에어플로우(Apache Airflow)를 사용해 보신 분
• 구글 클라우드 플랫폼 사용 경험을 보유하신 분
• 쿠버네티스를 활용할 수 있으신 분
• 데이터 비식별화(de-identification) 경험을 보유하신 분
• Change Data Capture 경험이 있으신 분
• 실시간 스트리밍 데이터 적재에 대한 경험이 있으신 분",경기.한국,https://www.wanted.co.kr/wd/181514,"React
VueJS
TypeScript
HTML5
CSS3
Angular"
콜로세움코퍼레이션,"• DB 모니터링 프로세스 구축 및 관제 경험이 있는 분
• SQLD , DAP, DAsp 자격증 소유하신 분
• 이커머스 물류 또는 WMS, ERP 경험이 있으신 분",서울.한국,https://www.wanted.co.kr/wd/181471,
비비티에이아이코리아,"• Free Lunch : 오피스 업무시 점심은 무료!
• Medical Checkup : 본인, 배우자, 부모님 건강검진 커버
• Flexable Hours : 자유로운 출퇴근 및 재택근무
• Self-Development : 자기계발에 대한 회사 지원",서울.한국,https://www.wanted.co.kr/wd/181337,
와이더플래닛,"1. Production 하둡 에코시스템, Elasticsearch 개발 및 운영 경험 
2. On-premise 환경에서 오픈소스 플랫폼 / 프레임워크 베이스로 개발 및 운영 경험
3. Cloud(AWS, GCP 등) 환경에서 개발 및 운영 경험",서울.한국,https://www.wanted.co.kr/wd/181098,"Slack
Hadoop
Spark
Jenkins
ElasticSearch
Kubernetes"
